# frequency  PSD
3.339316239316239554e-01 5.697492698978394876e-15
3.340170940170940073e-01 5.703985671089292084e-15
3.341025641025641146e-01 5.706035199106094378e-15
3.341880341880341665e-01 5.731459676721671088e-15
3.342735042735042739e-01 5.791774083378659599e-15
3.343589743589743812e-01 5.799368285681218979e-15
3.344444444444444331e-01 5.803920349096499250e-15
3.345299145299145405e-01 5.804207495779072875e-15
3.346153846153845923e-01 5.822537875478076266e-15
3.347008547008546997e-01 5.832276590056865042e-15
3.347863247863248071e-01 5.843715040422437708e-15
3.348717948717948589e-01 5.843715040422437708e-15
3.349572649572649663e-01 5.863900735588997824e-15
3.350427350427350182e-01 5.882802029029478323e-15
3.351282051282051255e-01 5.909186732302336187e-15
3.352136752136752329e-01 5.919435965640666026e-15
3.352991452991452848e-01 5.928305676561002964e-15
3.353846153846153921e-01 5.932407677037347788e-15
3.354700854700854440e-01 5.954493870555325283e-15
3.355555555555555514e-01 5.954668612278866548e-15
3.356410256410256587e-01 5.968601924966947955e-15
3.357264957264957106e-01 5.979008330074490169e-15
3.358119658119658180e-01 5.981588277369135223e-15
3.358974358974358698e-01 6.004224880535128804e-15
3.359829059829059772e-01 6.018949497275313685e-15
3.360683760683760846e-01 6.027003877859281976e-15
3.361538461538461364e-01 6.030575161646709622e-15
3.362393162393162438e-01 6.041724974283240765e-15
3.363247863247863512e-01 6.061226577029720087e-15
3.364102564102564030e-01 6.087341806835620653e-15
3.364957264957265104e-01 6.087970144208782939e-15
3.365811965811965623e-01 6.106033711296905930e-15
3.366666666666666696e-01 6.123139161750050537e-15
3.367521367521367770e-01 6.135569413337336538e-15
3.368376068376068289e-01 6.166302275238293203e-15
3.369230769230769362e-01 6.178370064981420194e-15
3.370085470085469881e-01 6.184525535236261032e-15
3.370940170940170955e-01 6.197254362319037553e-15
3.371794871794872028e-01 6.206985037214902529e-15
3.372649572649572547e-01 6.206985037214902529e-15
3.373504273504273621e-01 6.211988621750466221e-15
3.374358974358974139e-01 6.214108644274608242e-15
3.375213675213675213e-01 6.238683914268149997e-15
3.376068376068376287e-01 6.250067538426202635e-15
3.376923076923076805e-01 6.289485903837616135e-15
3.377777777777777879e-01 6.292720699974403137e-15
3.378632478632478398e-01 6.319431148775203523e-15
3.379487179487179471e-01 6.332671918399651354e-15
